Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:34:49:827,27262134,3436,83,15.333982,11.927936,0.256072,5.745938,17.929947,35.910115,4.589388,1.052368,0.000000
17/08/2022,17:34:50:844,27263151,2409,73,15.146808,4.814776,0.263743,4.790528,9.869047,23.587510,3.766805,0.704224,0.000000
17/08/2022,17:34:51:830,27264137,3423,83,15.231160,11.548788,0.263946,5.656465,17.469198,35.034060,4.527224,0.998535,0.000000
17/08/2022,17:34:52:850,27265157,3548,77,15.292636,10.766106,0.284108,5.928466,16.978679,34.629984,4.777597,1.040405,0.000000
17/08/2022,17:34:53:823,27266130,3488,83,15.341962,9.985854,0.300035,6.359493,16.645381,34.967191,5.160370,1.046997,0.000000
17/08/2022,17:34:54:842,27267149,2948,77,15.338939,8.638701,0.245207,6.371054,15.254963,33.345021,5.174752,1.083862,0.000000
17/08/2022,17:34:55:815,27268122,1438,74,15.172945,5.678725,0.252466,4.846575,10.777766,24.846230,3.801789,1.079468,0.000000
17/08/2022,17:34:56:832,27269139,1587,78,15.264817,12.085839,0.244141,5.486766,17.816745,35.171650,4.371949,0.890625,1.078125
17/08/2022,17:34:57:867,27270174,3049,76,15.324519,10.599892,0.302175,6.006472,16.908539,34.635441,4.846684,1.025146,0.000000
17/08/2022,17:34:58:868,27271175,2848,77,15.354739,9.382784,0.332833,6.426442,16.142059,34.522782,5.209454,1.018433,0.000000
17/08/2022,17:34:59:827,27272134,1787,76,15.326332,8.259033,0.306946,5.993347,14.559326,31.711155,4.827454,0.970581,1.078125
17/08/2022,17:35:00:832,27273139,1722,75,15.165148,5.596542,0.247955,4.780642,10.625140,24.855550,3.750356,1.344116,0.000000
17/08/2022,17:35:01:877,27274184,2872,83,15.239481,11.675892,0.282683,5.279602,17.238176,34.364311,4.190574,0.867432,0.000000
17/08/2022,17:35:02:807,27275114,2363,81,15.445749,13.613874,0.354716,6.792408,20.760998,40.311095,5.527474,0.826782,0.000000
17/08/2022,17:35:03:894,27276201,2417,78,15.416590,7.579266,0.254587,6.733052,14.566904,32.443008,5.456438,0.900757,0.000000
17/08/2022,17:35:04:842,27277149,2296,72,15.365379,7.261218,0.298213,6.538005,14.097437,31.606104,5.289788,1.004272,0.000000
17/08/2022,17:35:05:860,27278167,3394,76,15.341319,8.439188,0.308327,5.907997,14.655512,31.270840,4.734116,0.969116,0.875000
17/08/2022,17:35:06:839,27279146,2312,78,15.341792,9.280164,0.292273,5.781896,15.354333,31.965308,4.619527,0.967529,0.000000
17/08/2022,17:35:07:840,27280147,2483,80,15.340818,9.115663,0.295086,5.903221,15.313970,32.245765,4.734896,1.002197,0.000000
17/08/2022,17:35:08:854,27281161,2887,75,15.328252,8.312744,0.302368,6.373840,14.988953,32.815979,5.129333,1.003296,0.000000
