Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:15:39:189,5666812,998,0,6.535975,1.397607,0.093456,4.609133,6.100196,6.849326,18.321499,3.666047,0.757202,0.000000
18/08/2022,12:15:40:183,5667806,1297,45,6.527386,1.428659,0.096977,4.771531,6.297167,6.829468,19.082893,3.793798,0.733032,0.000000
18/08/2022,12:15:41:191,5668814,1004,46,6.510944,1.450674,0.095387,4.518626,6.064686,6.802291,18.097108,3.589027,0.756226,0.000000
18/08/2022,12:15:42:186,5669809,1901,46,6.514742,1.617856,0.097499,4.901317,6.616672,6.795615,19.987290,3.941612,0.803223,0.000000
18/08/2022,12:15:43:178,5670801,999,45,6.510746,1.554162,0.095318,4.753022,6.402502,6.781631,19.115782,3.775101,0.739014,0.000000
18/08/2022,12:15:44:186,5671809,1218,45,6.498484,1.300954,0.096572,4.766778,6.164304,6.759760,18.839313,3.792240,0.761963,0.921875
18/08/2022,12:15:45:197,5672820,1001,45,6.491579,1.773588,0.099931,4.433164,6.306683,6.753714,18.102979,3.484393,0.734009,0.000000
18/08/2022,12:15:46:190,5673813,898,45,6.460715,1.172346,0.099552,4.365734,5.637632,6.713415,17.045213,3.446858,0.748047,0.000000
18/08/2022,12:15:47:182,5674805,1676,45,6.444178,1.351273,0.098789,4.543393,5.993455,6.687908,18.352078,3.641990,0.774292,0.921875
18/08/2022,12:15:48:188,5675811,1051,45,6.478546,2.435880,0.095176,4.881243,7.412299,6.713598,20.778287,3.892899,0.728882,0.000000
18/08/2022,12:15:49:194,5676817,1217,45,6.448034,1.228841,0.098689,4.300944,5.628474,6.619313,16.743756,3.356146,0.731812,0.000000
18/08/2022,12:15:50:192,5677815,1215,45,6.424088,1.279132,0.096311,4.406759,5.782201,6.589236,17.467290,3.488599,0.759521,0.000000
18/08/2022,12:15:51:184,5678807,953,46,6.409739,1.631681,0.099136,4.290686,6.021503,6.569001,17.458256,3.381947,0.773071,0.921875
18/08/2022,12:15:52:194,5679817,1671,46,6.409318,1.577851,0.095622,4.724368,6.397841,6.562943,19.319534,3.796424,0.734985,0.000000
18/08/2022,12:15:53:188,5680811,1556,45,6.398975,1.372416,0.094420,4.656018,6.122853,6.547068,18.417706,3.679979,0.761719,0.921875
18/08/2022,12:15:54:199,5681822,1248,45,6.384096,1.280265,0.095605,4.603979,5.979849,6.526932,18.103285,3.637302,0.728760,0.000000
18/08/2022,12:15:55:189,5682812,1597,45,6.378726,1.421678,0.095990,4.717698,6.235366,6.549130,18.855461,3.769389,0.747559,0.000000
18/08/2022,12:15:56:195,5683818,1667,45,6.358935,1.255078,0.097138,4.466202,5.818417,6.523347,17.581701,3.537820,0.739014,0.000000
18/08/2022,12:15:57:206,5684829,1007,49,6.360158,1.597421,0.095106,4.700497,6.393023,6.518669,20.251538,3.784240,1.110352,0.000000
18/08/2022,12:15:58:201,5685824,1997,45,6.400820,2.472346,0.095775,4.917069,7.485190,6.553602,19.915210,3.894115,0.735718,0.000000
18/08/2022,12:15:59:192,5686815,1231,46,6.385419,1.287064,0.093726,4.587493,5.968283,6.532760,18.120748,3.638715,0.746460,0.000000
18/08/2022,12:16:00:205,5687828,1484,46,6.379124,1.526495,0.098149,4.582754,6.207399,6.521256,18.391148,3.632453,0.739380,0.000000
18/08/2022,12:16:01:200,5688823,1224,46,6.368547,1.355185,0.098572,4.633008,6.086766,6.505537,18.432013,3.679376,0.732910,0.000000
18/08/2022,12:16:02:209,5689832,1505,46,6.363437,1.433405,0.094869,4.696330,6.224603,6.495554,19.029256,3.770528,0.752930,0.000000
18/08/2022,12:16:03:201,5690824,1098,45,6.383359,1.791231,0.096266,5.028228,6.915725,6.510695,20.510901,3.992414,0.728149,0.000000
18/08/2022,12:16:04:206,5691829,1081,45,6.367782,1.325317,0.095394,4.523424,5.944136,6.490602,17.933457,3.589334,0.737061,0.000000
18/08/2022,12:16:05:197,5692820,1398,45,6.358543,1.359995,0.097547,4.652303,6.109844,6.476950,18.393002,3.687460,0.743530,0.000000
18/08/2022,12:16:06:209,5693832,1604,45,6.344763,1.308783,0.094411,4.566807,5.970001,6.458989,18.072792,3.618715,0.740845,0.000000
18/08/2022,12:16:07:201,5694824,1719,46,6.348676,1.594407,0.094789,4.764137,6.453334,6.458785,19.560619,3.842677,0.785034,0.921875
18/08/2022,12:16:08:208,5695831,1163,45,6.362567,1.736370,0.097534,4.905691,6.739595,6.468754,19.796412,3.888364,0.737183,0.000000
18/08/2022,12:16:09:199,5696822,1864,46,6.351028,1.340891,0.096685,4.603508,6.041084,6.453388,18.155322,3.641987,0.739868,0.000000
18/08/2022,12:16:10:205,5697828,1353,45,6.352875,1.513463,0.096869,4.792760,6.403092,6.451606,19.224658,3.825753,0.742920,0.000000
18/08/2022,12:16:11:210,5698833,1437,44,6.340910,1.309796,0.096138,4.613590,6.019524,6.436098,18.176282,3.645121,0.733398,0.000000
18/08/2022,12:16:12:218,5699841,1366,46,6.352903,1.667950,0.091735,4.915701,6.675386,6.562176,20.296167,3.973614,0.772461,0.921875
18/08/2022,12:16:13:207,5700830,1061,46,6.394582,2.502260,0.089800,4.916292,7.508353,6.596272,20.784860,3.901411,0.739136,0.000000
18/08/2022,12:16:14:210,5701833,1497,45,6.388383,1.409931,0.096036,4.712755,6.218722,6.582950,18.725401,3.742565,0.739746,0.000000
18/08/2022,12:16:15:219,5702842,979,46,6.374668,1.391480,0.093041,4.521387,6.005908,6.565759,18.067867,3.593772,0.765015,0.921875
18/08/2022,12:16:16:209,5703832,1157,44,6.364532,1.308959,0.092914,4.691783,6.093656,6.738425,18.465617,3.720601,0.732910,0.000000
18/08/2022,12:16:17:223,5704846,1254,46,6.372204,1.617988,0.094580,4.869397,6.581964,6.644951,19.895488,3.916720,0.783081,0.921875
18/08/2022,12:16:18:213,5705836,1537,45,6.381100,1.596475,0.096754,4.924390,6.617619,6.643961,19.749989,3.920094,0.749512,0.000000
18/08/2022,12:16:19:222,5706845,898,45,6.370557,1.394755,0.094540,4.593896,6.083191,6.975121,18.264693,3.658156,0.771973,0.953125
18/08/2022,12:16:20:212,5707835,1150,45,6.366791,1.451765,0.097123,4.717065,6.265953,6.949616,18.788313,3.747233,0.764160,0.000000
